Pytanie	Odpowiedź
Czym jest władza?	Władza to zdolność wpływania na zachowanie innych osób, wydawania poleceń i egzekwowania posłuszeństwa.
Czym jest władza polityczna?	Władza polityczna to możliwość podejmowania decyzji dotyczących państwa i społeczeństwa albo wpływania na takie decyzje.
Kto może sprawować lub kształtować władzę polityczną?	Władzę polityczną mogą kształtować organy państwa, partie, ruchy społeczne, grupy nacisku, media i liderzy opinii.
Jaki jest główny cel władzy politycznej?	Celem władzy politycznej jest zdobycie, utrzymanie albo wykonywanie wpływu na decyzje państwa.
Czym jest władza państwowa?	Władza państwowa to szczególny rodzaj władzy politycznej wykonywany przez organy państwa na podstawie prawa.
Czym różni się władza państwowa od władzy politycznej?	Władza państwowa jest formalna, prawna i instytucjonalna, a władza polityczna jest pojęciem szerszym i może mieć także charakter nieformalny.
Dlaczego decyzje władzy państwowej są szczególne?	Decyzje władzy państwowej są wiążące dla obywateli i mogą być egzekwowane za pomocą legalnego przymusu.
Jakie organy są przykładami władzy państwowej w Polsce?	Przykładami są Sejm, Senat, Rada Ministrów, Prezydent RP, sądy i trybunały.
Czym jest legitymizacja władzy?	Legitymizacja władzy to uznanie jej za uprawnioną przez osoby, które jej podlegają.
Jakie typy legitymizacji wyróżnił Max Weber?	Max Weber wyróżnił legitymizację legalną, tradycyjną i charyzmatyczną.
Czym jest legitymizacja legalna?	Legitymizacja legalna opiera się na prawie, procedurach i wyborach.
Czym jest legitymizacja tradycyjna?	Legitymizacja tradycyjna opiera się na zwyczaju, dziedziczeniu, tradycji albo religijnej ciągłości władzy.
Czym jest legitymizacja charyzmatyczna?	Legitymizacja charyzmatyczna opiera się na wyjątkowych cechach przywódcy i zaufaniu do jego osoby.
Jakie trzy elementy państwa wskazał Georg Jellinek?	Georg Jellinek wskazał ludność, terytorium i władzę najwyższą.
Jaki czwarty element często dodaje się do klasycznej definicji państwa?	Często dodaje się suwerenność.
Czym jest państwo jako organizacja polityczna?	Państwo organizuje współpracę społeczną, zarządza sprawami publicznymi oraz utrzymuje bezpieczeństwo i porządek.
Czym jest suwerenność zewnętrzna państwa?	Suwerenność zewnętrzna oznacza niezależność państwa w stosunkach międzynarodowych.
Czym jest suwerenność wewnętrzna państwa?	Suwerenność wewnętrzna oznacza nadrzędność władzy państwowej wobec innych podmiotów działających na jego terytorium.
Czy członkostwo w Unii Europejskiej oznacza utratę suwerenności?	Nie, ponieważ państwo dobrowolnie przekazuje część kompetencji i może działać dalej jako podmiot prawa międzynarodowego.
Czym jest terytorium państwa?	Terytorium państwa obejmuje ląd, wody wewnętrzne, morze terytorialne oraz przestrzeń nad i pod tym obszarem.
Czy ambasada jest terytorium obcego państwa?	Nie, ambasada korzysta z nietykalności dyplomatycznej, ale nie staje się terytorium obcego państwa.
Dlaczego państwo jest organizacją przymusową?	Państwo może legalnie stosować przymus w określonych prawem sytuacjach.
Na czym polega formalna więź obywatela z państwem?	Obywatelstwo łączy jednostkę z państwem przez prawa i obowiązki.
Na czym polega klasyczna teoria genezy państwa?	Państwo powstaje naturalnie z rozwoju wspólnot: rodziny, rodu, lokalnej społeczności i większej wspólnoty politycznej.
Kto kojarzony jest z klasyczną teorią genezy państwa?	Z klasyczną teorią kojarzony jest Arystoteles.
Jak Arystoteles rozumiał człowieka w kontekście państwa?	Człowiek jest istotą społeczną i polityczną, a państwo jest najwyższą formą wspólnoty.
Na czym polega teistyczna teoria genezy państwa?	Władza i państwo pochodzą od Boga albo od istoty wyższej.
Z kim wiąże się teistyczną teorię państwa?	Z teistyczną teorią państwa wiąże się św. Augustyna i św. Tomasza z Akwinu.
Na czym polega teoria umowy społecznej?	Państwo powstaje na podstawie porozumienia ludzi, którzy oddają część wolności w zamian za ład i bezpieczeństwo.
Kto jest kojarzony z teorią umowy społecznej?	Z teorią umowy społecznej kojarzeni są Thomas Hobbes, John Locke i Jean-Jacques Rousseau.
Jak John Locke rozumiał stan natury?	Locke uważał, że stan natury był zasadniczo stanem wolności i względnego ładu, który państwo ma chronić.
Jak Thomas Hobbes rozumiał stan natury?	Hobbes uważał, że stan natury oznacza zagrożenie, przemoc i walkę wszystkich ze wszystkimi.
Czym jest Lewiatan w koncepcji Hobbesa?	Lewiatan to silna władza państwowa, która ma zakończyć chaos i zapewnić porządek.
Na czym polega teoria podboju?	Państwo powstaje w wyniku podboju i podporządkowania słabszych grup przez silniejsze.
Kto jest kojarzony z teorią podboju?	Z teorią podboju kojarzony jest Ludwik Gumplowicz.
Na czym polega marksistowska teoria państwa?	Państwo powstaje wraz z podziałem klasowym i własnością prywatną jako narzędzie panowania klasy rządzącej.
Jak marksizm przewiduje przyszłość państwa w komunizmie?	W komunizmie państwo ma stopniowo obumrzeć, ponieważ znikną klasy społeczne.
Czym jest obywatelstwo?	Obywatelstwo to prawno-polityczna więź jednostki z państwem, obejmująca prawa i obowiązki.
Jakie są główne sposoby nabycia obywatelstwa?	Obywatelstwo można nabyć pierwotnie przez urodzenie albo wtórnie, na przykład przez naturalizację.
Czym jest zasada ius soli?	Ius soli to prawo ziemi, czyli nabycie obywatelstwa przez urodzenie się na terytorium danego państwa.
Czym jest zasada ius sanguinis?	Ius sanguinis to prawo krwi, czyli nabycie obywatelstwa po rodzicach.
Która zasada nabywania obywatelstwa dominuje w Polsce?	W Polsce dominuje zasada ius sanguinis.
Kiedy w Polsce stosuje się pomocniczo ius soli?	Gdy dziecko urodzone w Polsce inaczej byłoby bezpaństwowcem.
Czym jest naturalizacja?	Naturalizacja to nadanie obywatelstwa cudzoziemcowi, który spełnia warunki określone przez państwo.
Kto może nadać obywatelstwo polskie?	Obywatelstwo polskie może nadać Prezydent RP.
Jaki charakter ma decyzja Prezydenta RP o nadaniu obywatelstwa?	Ma charakter uznaniowy, nie wymaga uzasadnienia i nie przysługuje od niej odwołanie.
Od kiedy cudzoziemiec nabywa obywatelstwo nadane przez Prezydenta RP?	Od dnia wydania postanowienia Prezydenta RP.
Czym różni się uznanie za obywatela polskiego przez wojewodę od nadania przez Prezydenta?	Uznanie przez wojewodę jest decyzją administracyjną opartą na spełnieniu warunków, wymaga uzasadnienia i można się od niej odwołać.
Jakie warunki zwykle wiążą się z uznaniem za obywatela polskiego?	Trzeba legalnie i nieprzerwanie mieszkać w Polsce przez wymagany czas, uzasadnić wniosek i potwierdzić znajomość języka polskiego.
Czym jest apatryda?	Apatryda to bezpaństwowiec, czyli osoba, której żadne państwo nie uznaje za swojego obywatela.
Jak obywatel polski może utracić obywatelstwo?	Obywatel polski może utracić obywatelstwo tylko przez zrzeczenie się go za zgodą Prezydenta RP.
Jaki warunek praktyczny wiąże się ze zrzeczeniem się obywatelstwa polskiego?	Osoba powinna mieć inne obywatelstwo albo zapewnienie jego uzyskania, aby nie stać się bezpaństwowcem.
Czym jest repatriacja?	Repatriacja to powrót do Polski osoby polskiego pochodzenia, zwłaszcza z azjatyckiej części byłego ZSRR, która chce osiedlić się w Polsce.
Czym jest przywrócenie obywatelstwa polskiego?	Przywrócenie obywatelstwa dotyczy osób, które utraciły obywatelstwo polskie na podstawie dawnych przepisów.
Czym jest naród polityczny?	Naród polityczny to wspólnota obywateli danego państwa, niezależnie od pochodzenia etnicznego, języka czy religii.
Jaki kierunek rozwoju opisuje koncepcja narodu politycznego?	Koncepcja ta opisuje drogę od państwa do narodu.
Gdzie szczególnie rozwinęła się koncepcja narodu politycznego?	W Europie Zachodniej oraz w państwach imigracyjnych, takich jak USA, Kanada czy Australia.
Czym jest naród etniczno-kulturowy?	Naród etniczno-kulturowy to wspólnota oparta na pochodzeniu, języku, kulturze, religii, historii i tradycji.
Jaki kierunek rozwoju opisuje koncepcja narodu etniczno-kulturowego?	Koncepcja ta opisuje drogę od narodu do państwa.
Gdzie szczególnie ważna była koncepcja narodu etniczno-kulturowego?	W Europie Środkowo-Wschodniej, między innymi u Polaków w okresie zaborów.
Jakie czynniki narodotwórcze są najważniejsze?	Najważniejsze są język, historia, tradycja, kultura, religia, terytorium oraz instytucje państwowe.
Jakie czynniki pomagają utrzymać tożsamość narodową?	Pomagają edukacja narodowa, kultura, sztuka, Kościół lub wspólnoty religijne, organizacje społeczne i symbole narodowe.
Czym jest nacjonalizm?	Nacjonalizm to ideologia uznająca interes narodu za najwyższą wartość polityczną.
Czym jest szowinizm?	Szowinizm to skrajna i bezkrytyczna postawa wobec własnego narodu, połączona z wrogością lub poczuciem wyższości wobec innych.
Czym jest świadomość narodowa?	Świadomość narodowa to poczucie przynależności do narodu.
Czym jest tożsamość narodowa?	Tożsamość narodowa to poczucie odrębności własnego narodu wobec innych narodów.
Czym jest konserwatyzm?	Konserwatyzm to ideologia podkreślająca znaczenie tradycji, religii, rodziny, ciągłości wspólnoty i ostrożnych zmian.
Jak konserwatyzm ocenia naturę człowieka?	Konserwatyzm zwykle zakłada, że człowiek jest niedoskonały i potrzebuje wspólnoty, norm oraz autorytetu.
Czym jest liberalizm?	Liberalizm to ideologia uznająca wolność jednostki, rządy prawa, ograniczoną władzę państwa i własność prywatną za kluczowe wartości.
Jakie wartości są typowe dla liberalizmu politycznego?	Typowe są wolność, równość wobec prawa, pluralizm, wybory, podział władzy i ochrona praw jednostki.
Jakie wartości są typowe dla liberalizmu gospodarczego?	Typowe są wolny rynek, własność prywatna, konkurencja i ograniczona ingerencja państwa w gospodarkę.
Czym jest socjalizm?	Socjalizm to ideologia dążąca do równości społecznej, sprawiedliwości ekonomicznej, redystrybucji i ochrony pracowników.
Jaką rolę państwa zakłada socjalizm?	Socjalizm zakłada aktywną rolę państwa w ograniczaniu nierówności i zapewnianiu bezpieczeństwa socjalnego.
Czym jest chadecja?	Chadecja, czyli demokracja chrześcijańska, łączy wartości chrześcijańskie z demokracją, gospodarką rynkową i zasadą solidarności.
Jakie zasady są ważne dla chadecji?	Ważne są godność osoby, dobro wspólne, solidarność, pomocniczość i ochrona najsłabszych.
Czym jest totalitaryzm?	Totalitaryzm to system, w którym państwo dąży do pełnej kontroli nad wszystkimi sferami życia społecznego i prywatnego.
Jakie cechy ma państwo totalitarne?	Cechuje je jedna ideologia, jedna partia, kult przywódcy, terror, propaganda, cenzura, indoktrynacja i brak pluralizmu.
Czym różni się totalitaryzm od autorytaryzmu?	Totalitaryzm dąży do całkowitej kontroli życia, a autorytaryzm koncentruje się głównie na utrzymaniu władzy politycznej.
Czym jest autorytaryzm?	Autorytaryzm to niedemokratyczny system silnej władzy, w którym pluralizm jest ograniczony, a społeczeństwo ma niewielki wpływ na rządzenie.
Czym jest faszyzm w sensie historycznym?	Faszyzm historycznie oznacza system stworzony przez Benito Mussoliniego we Włoszech.
Czym jest faszyzm w sensie ideologicznym?	Faszyzm to skrajnie antyliberalna i antydemokratyczna ideologia podporządkowująca jednostkę państwu, narodowi i wodzowi.
Jakie cechy są typowe dla faszyzmu?	Typowe są kult państwa i wodza, militaryzm, nacjonalizm, przemoc polityczna, antydemokratyzm i ekspansjonizm.
Czym jest nazizm?	Nazizm to niemiecka odmiana totalitaryzmu oparta na rasizmie, kulcie Hitlera, antysemityzmie i idei wyższości rasy aryjskiej.
Czym jest komunizm w ujęciu ideologicznym?	Komunizm zakłada walkę klas, zniesienie własności prywatnej środków produkcji i budowę społeczeństwa bezklasowego.
Jak komunizm traktuje gospodarkę?	Komunizm dąży do upaństwowienia gospodarki, centralnego planowania i likwidacji kapitalizmu.
Czym jest populizm?	Populizm to styl polityczny odwołujący się do woli ludu przeciwstawianej skorumpowanym elitom.
Czy populizm jest jedną spójną ideologią?	Nie, populizm może występować po prawej i lewej stronie sceny politycznej.
Jakie cechy ma populizm?	Ma antyelitaryzm, proste hasła, emocjonalny język, krytykę instytucji, kult lidera i obietnice szybkich rozwiązań.
Jakie mogą być skutki populizmu?	Skutkami mogą być polaryzacja, osłabienie instytucji, spadek zaufania, dezinformacja i krótkoterminowe obietnice.
Czym jest kultura polityczna?	Kultura polityczna to zbiór postaw, wiedzy, emocji, opinii i wzorów zachowań wobec polityki.
Jakie wskaźniki pokazują poziom kultury politycznej?	Wskaźnikami są frekwencja wyborcza, udział w życiu publicznym, wiedza polityczna i zdolność konstruktywnej krytyki.
Czym jest zaściankowa kultura polityczna?	To typ kultury, w którym ludzie interesują się głównie sprawami lokalnymi i słabo znają mechanizmy polityczne państwa.
Czym jest podporządkowana kultura polityczna?	To typ kultury, w którym obywatele wiedzą o istnieniu systemu politycznego, ale zwykle nie uczestniczą aktywnie w polityce.
Czym jest uczestnicząca kultura polityczna?	To typ kultury, w którym obywatele znają system polityczny, uczestniczą w nim i próbują wpływać na decyzje publiczne.
Czym jest polityka?	Polityka to działalność związana z podejmowaniem decyzji dotyczących państwa, społeczeństwa i władzy.
Czym jest myśl polityczna?	Myśl polityczna to zespół idei, wartości i poglądów dotyczących organizacji życia publicznego, władzy i społeczeństwa.
Czym jest demokracja w III RP?	Demokracja w III RP oznacza, że władza należy do narodu, a obywatele współdecydują przez wybory i udział w życiu publicznym.
Jakie zasady ustrojowe są ważne w III RP?	Ważne są suwerenność narodu, podział i równowaga władz, państwo prawa, pluralizm polityczny, prawa człowieka i społeczeństwo obywatelskie.
Co oznacza suwerenność narodu w Konstytucji RP?	Oznacza, że władza zwierzchnia w Rzeczypospolitej Polskiej należy do Narodu.
Co oznacza podział władzy w Polsce?	Władza ustawodawcza, wykonawcza i sądownicza są rozdzielone i powinny się równoważyć.
Z czego wynika polskie dziedzictwo demokratyczne?	Z tradycji demokracji szlacheckiej, Konstytucji 3 maja, ruchów niepodległościowych i Solidarności.
Kim był Ludwik Krzywicki?	Ludwik Krzywicki był socjologiem i ekonomistą związanym z marksizmem i materialistycznym rozumieniem dziejów.
Kim był Feliks Koneczny?	Feliks Koneczny był twórcą teorii cywilizacji, według której cywilizacja wpływa na prawo, państwo, pracę i religię.
Kim był Florian Znaniecki?	Florian Znaniecki był socjologiem humanistycznym, który traktował kulturę jako system wartości, norm i znaczeń.
Kim był Józef Chałasiński?	Józef Chałasiński był socjologiem edukacji i kultury, badał awans społeczny oraz rolę wychowania obywatelskiego.
Kim był Stanisław Ossowski?	Stanisław Ossowski badał więzi społeczne, tożsamość narodową i naród jako wspólnotę kultury oraz emocji.
Kim była Maria Ossowska?	Maria Ossowska zajmowała się etyką społeczną, normami moralnymi i wpływem moralności na życie publiczne.
Jakie instytucje w Polsce zwykle cieszą się większym zaufaniem społecznym?	Często większym zaufaniem cieszą się wojsko, policja, straż pożarna i samorząd lokalny.
Jakie instytucje w Polsce zwykle mają niższe zaufanie społeczne?	Niskie zaufanie często dotyczy partii politycznych, polityków, parlamentu i części mediów.
Jakie funkcje społeczne pełni religia?	Religia pełni funkcję integracyjną, normatywną i tożsamościową.
Na czym polega sekularyzacja w Polsce?	Sekularyzacja oznacza spadek religijności i społecznego autorytetu Kościoła, szczególnie wśród młodych i w dużych miastach.
Czym jest republika?	Republika to ustrój, w którym głowa państwa jest wybierana na określoną kadencję, a nie dziedziczy władzy.
Jak można wybrać głowę państwa w republice?	Można ją wybrać bezpośrednio przez obywateli, pośrednio przez elektorów albo przez parlament lub specjalne zgromadzenie.
Czym jest pośredni wybór powszechny prezydenta?	Obywatele głosują, ale ostatecznego wyboru dokonują elektorzy albo specjalne ciało wyborcze.
Czym jest bezpośredni wybór powszechny prezydenta?	Obywatele bezpośrednio głosują na kandydatów na prezydenta.
Czy głowa państwa w republice zawsze jest jednoosobowa?	Nie, głowa państwa może być kolegialna, na przykład w Szwajcarii.
Czym jest prerogatywa prezydencka?	Prerogatywa to uprawnienie prezydenta niewymagające kontrasygnaty premiera.
Czym jest kontrasygnata?	Kontrasygnata to podpis premiera pod aktem prezydenta, oznaczający przejęcie odpowiedzialności politycznej.
Podaj przykłady prerogatyw Prezydenta RP.	Przykładami są prawo łaski, powoływanie sędziów, inicjatywa ustawodawcza i zarządzanie wyborów parlamentarnych.
Czym jest monarchia?	Monarchia to ustrój, w którym głową państwa jest monarcha, zwykle obejmujący funkcję dziedzicznie.
Jakie są formy monarchii według tytułu władcy?	Formami są między innymi cesarstwo, królestwo, sułtanat, wielkie księstwo, księstwo i emirat.
Czym jest monarchia absolutna?	Monarchia absolutna to system, w którym monarcha skupia pełnię władzy, a prawa poddanych są ograniczone.
Podaj przykłady monarchii absolutnych.	Przykładami są Arabia Saudyjska, Oman, Katar, Brunei oraz Watykan jako monarchia teokratyczna.
Czym jest monarchia konstytucyjna?	Monarchia konstytucyjna to ustrój, w którym władzę monarchy ogranicza konstytucja, ale monarcha zachowuje istotne kompetencje.
